Timestamp,CPU_Utilization,Memory_Usage_MB,Disk_IO_MBps,Network_In_Mbps,Network_Out_Mbps,Error_Rate_Percentage
2024-11-20 15:17:53.909263,41.95,1322.04,82.49,916.99,509.05,3.32
2024-11-20 15:18:53.909263,41.86,2930.06,22.92,277.86,14.52,0.06
2024-11-20 15:19:53.909263,46.5,3200.81,108.1,615.03,198.91,2.4
2024-11-20 15:20:53.909263,54.87,2986.48,153.16,322.5,546.29,2.26
2024-11-20 15:21:53.909263,52.83,1532.02,154.5,390.84,687.92,1.12
2024-11-20 15:22:53.909263,41.13,2145.23,22.64,357.31,663.27,4.93
2024-11-20 15:23:53.909263,60.72,1433.4,96.93,869.36,142.83,0.74
2024-11-20 15:24:53.909263,75.76,1304.47,87.34,330.94,174.97,4.86
2024-11-20 15:25:53.909263,56.12,1932.84,5.87,429.85,61.51,2.5
2024-11-20 15:26:53.909263,77.72,1731.01,153.64,579.37,94.42,0.25
2024-11-20 15:27:53.909263,57.92,4083.89,167.01,49.28,297.17,1.19
2024-11-20 15:28:53.909263,70.51,3264.15,110.64,489.91,123.87,3.3
2024-11-20 15:29:53.909263,55.2,3508.07,180.54,923.37,138.91,1.79
2024-11-20 15:30:53.909263,52.78,2228.53,125.81,533.09,487.38,2.37
2024-11-20 15:31:53.909263,36.02,1336.71,140.04,445.08,996.58,4.23
2024-11-20 15:32:53.909263,56.19,1551.63,172.02,800.43,306.05,1.02
2024-11-20 15:33:53.909263,38.03,1879.51,107.4,64.74,338.59,3.34
2024-11-20 15:34:53.909263,51.75,1666.88,14.92,29.16,896.35,4.63
2024-11-20 15:35:53.909263,46.04,3082.81,63.17,362.83,666.9,3.5
2024-11-20 15:36:53.909263,40.16,3368.67,78.22,646.17,289.57,0.43
2024-11-20 15:37:53.909263,62.06,3458.48,143.34,245.26,748.79,3.42
2024-11-20 15:38:53.909263,58.77,3016.66,106.79,488.14,488.44,1.7
2024-11-20 15:39:53.909263,52.0,1394.07,134.15,373.54,345.65,0.68
2024-11-20 15:40:53.909263,61.46,2351.3,39.73,171.73,288.03,3.25
2024-11-20 15:41:53.909263,65.81,3774.81,18.96,23.43,888.05,3.37
2024-11-20 15:42:53.909263,78.71,1878.68,148.0,14.42,182.35,0.75
2024-11-20 15:43:53.909263,42.68,2843.22,172.98,689.72,584.58,0.71
2024-11-20 15:44:53.909263,68.01,2594.28,177.87,969.3,543.84,0.33
2024-11-20 15:45:53.909263,44.51,3433.59,195.76,315.26,542.0,2.43
2024-11-20 15:46:53.909263,57.29,3156.26,14.03,585.48,130.07,1.85
2024-11-20 15:47:53.909263,30.19,2533.85,17.6,860.18,335.9,4.92
2024-11-20 15:48:53.909263,39.84,2441.45,168.43,86.22,526.2,2.79
2024-11-20 15:49:53.909263,38.08,3495.22,187.95,960.91,606.49,1.89
2024-11-20 15:50:53.909263,33.29,3939.46,36.83,98.24,639.71,0.18
2024-11-20 15:51:53.909263,35.57,3209.95,153.08,820.17,485.9,0.88
2024-11-20 15:52:53.909263,45.56,2843.69,119.8,856.84,802.44,0.97
2024-11-20 15:53:53.909263,47.74,2667.17,99.15,474.46,67.72,0.89
2024-11-20 15:54:53.909263,48.84,3671.21,128.87,240.43,845.31,4.69
2024-11-20 15:55:53.909263,58.33,1604.16,23.49,763.71,249.93,0.11
2024-11-20 15:56:53.909263,40.28,1397.56,146.94,725.22,283.43,4.26
2024-11-20 15:57:53.909263,68.77,3371.89,137.21,845.23,298.59,2.21
2024-11-20 15:58:53.909263,55.8,3818.95,157.13,994.43,897.13,1.27
2024-11-20 15:59:53.909263,63.99,1647.25,86.58,733.52,419.6,1.29
2024-11-20 16:00:53.909263,57.63,1691.72,39.74,820.65,984.49,2.68
2024-11-20 16:01:53.909263,54.01,3638.98,51.04,441.26,313.1,0.83
2024-11-20 16:02:53.909263,43.35,3675.54,195.81,488.52,638.57,2.55
2024-11-20 16:03:53.909263,57.34,1556.76,89.08,525.11,931.33,0.59
2024-11-20 16:04:53.909263,46.43,1221.42,24.6,609.46,831.98,0.3
2024-11-20 16:05:53.909263,66.78,1598.22,77.78,365.76,445.06,4.83
2024-11-20 16:06:53.909263,50.67,2650.09,20.36,233.08,624.82,0.68
2024-11-20 16:07:53.909263,48.08,3289.73,96.6,77.67,720.51,0.16
2024-11-20 16:08:53.909263,73.39,3035.03,156.54,932.96,499.7,2.42
2024-11-20 16:09:53.909263,55.54,3982.79,54.43,871.59,791.29,4.1
2024-11-20 16:10:53.909263,54.05,1395.69,145.43,506.53,905.15,2.87
2024-11-20 16:11:53.909263,64.83,3885.16,144.27,234.59,875.49,0.3
2024-11-20 16:12:53.909263,42.94,2010.86,186.26,150.58,957.92,4.42
2024-11-20 16:13:53.909263,48.93,3712.5,52.41,47.04,434.26,2.4
2024-11-20 16:14:53.909263,51.51,2523.23,127.62,72.59,586.23,4.3
2024-11-20 16:15:53.909263,64.03,4022.82,29.83,193.57,756.13,1.96
2024-11-20 16:16:53.909263,29.75,2397.25,156.74,246.84,594.25,1.09
2024-11-20 16:17:53.909263,53.47,1882.35,188.21,948.83,473.83,3.38
2024-11-20 16:18:53.909263,67.71,2570.64,158.73,803.39,446.79,1.92
2024-11-20 16:19:53.909263,62.51,2026.03,176.29,624.41,811.62,0.22
2024-11-20 16:20:53.909263,65.41,2894.14,113.13,704.59,927.35,3.13
2024-11-20 16:21:53.909263,45.55,1374.13,126.71,18.16,442.78,3.91
2024-11-20 16:22:53.909263,31.02,3223.42,11.02,669.61,452.49,0.17
2024-11-20 16:23:53.909263,15.61,3701.18,51.76,143.78,805.76,3.32
2024-11-20 16:24:53.909263,54.24,3684.68,10.56,63.42,954.85,1.57
2024-11-20 16:25:53.909263,40.8,3063.68,82.48,228.51,143.61,4.14
2024-11-20 16:26:53.909263,61.92,3412.46,179.71,412.15,90.2,2.29
2024-11-20 16:27:53.909263,32.81,3781.33,151.86,65.32,378.76,2.22
2024-11-20 16:28:53.909263,54.8,2583.6,125.22,596.76,985.72,4.21
2024-11-20 16:29:53.909263,25.46,1433.63,141.1,902.34,168.05,3.52
2024-11-20 16:30:53.909263,44.02,2133.95,53.2,394.96,550.78,0.05
2024-11-20 16:31:53.909263,76.87,2844.93,190.39,975.22,927.03,4.95
2024-11-20 16:32:53.909263,78.31,1898.08,51.86,780.63,319.08,2.34
2024-11-20 16:33:53.909263,55.93,2348.86,7.92,180.18,78.01,2.23
2024-11-20 16:34:53.909263,42.88,1386.08,92.98,122.93,770.0,0.36
2024-11-20 16:35:53.909263,49.68,1883.35,142.25,228.18,285.6,0.59
2024-11-20 16:36:53.909263,44.8,2479.43,178.5,639.47,746.49,1.35
2024-11-20 16:37:53.909263,46.05,2062.48,141.14,533.59,809.71,2.34
2024-11-20 16:38:53.909263,63.87,3529.15,39.86,358.55,147.08,1.52
2024-11-20 16:39:53.909263,43.39,1653.26,95.04,142.28,352.8,0.31
2024-11-20 16:40:53.909263,23.09,3202.17,33.85,493.71,119.22,1.35
2024-11-20 16:41:53.909263,25.0,2642.04,166.83,341.04,531.21,0.4
2024-11-20 16:42:53.909263,38.6,1859.82,156.32,683.71,479.5,2.44
2024-11-20 16:43:53.909263,48.88,2195.32,35.22,355.45,724.84,2.43
2024-11-20 16:44:53.909263,25.57,1511.53,160.33,136.58,761.07,0.71
2024-11-20 16:45:53.909263,32.98,2683.15,150.19,579.73,909.64,4.5
2024-11-20 16:46:53.909263,57.92,2824.93,78.51,778.27,523.47,3.88
2024-11-20 16:47:53.909263,45.29,2788.9,185.23,123.77,249.67,3.86
2024-11-20 16:48:53.909263,78.49,1731.17,26.46,199.31,296.07,4.87
2024-11-20 16:49:53.909263,52.61,1431.63,180.01,960.03,778.41,3.29
2024-11-20 16:50:53.909263,70.74,3557.71,169.49,125.26,67.4,0.44
2024-11-20 16:51:53.909263,55.85,4005.25,105.59,575.21,461.79,3.06
2024-11-20 16:52:53.909263,45.73,2792.28,147.48,390.54,203.41,2.49
2024-11-20 16:53:53.909263,31.63,2762.34,139.54,292.11,583.8,0.02
2024-11-20 16:54:53.909263,38.65,1609.98,134.32,917.49,234.45,0.76
2024-11-20 16:55:53.909263,54.97,2554.92,182.77,515.68,286.35,3.64
2024-11-20 16:56:53.909263,22.96,3285.54,117.18,856.22,179.16,0.28
2024-11-20 16:57:53.909263,38.65,2754.9,41.02,759.34,537.4,4.19
2024-11-20 16:58:53.909263,65.17,2399.23,138.61,737.86,488.42,4.81
2024-11-20 16:59:53.909263,39.33,1541.37,44.86,375.05,401.91,3.93
2024-11-20 17:00:53.909263,59.05,3135.81,7.02,482.36,402.21,0.35
2024-11-20 17:01:53.909263,39.7,2726.31,51.36,274.87,777.72,1.31
2024-11-20 17:02:53.909263,56.87,2265.09,197.96,856.6,290.62,3.65
2024-11-20 17:03:53.909263,47.75,2415.5,129.32,587.54,740.86,2.81
2024-11-20 17:04:53.909263,48.7,2249.38,36.17,292.83,98.38,4.6
2024-11-20 17:05:53.909263,45.54,2567.89,199.33,243.19,562.92,4.85
2024-11-20 17:06:53.909263,33.65,1651.24,29.82,564.87,339.59,1.7
2024-11-20 17:07:53.909263,70.21,3509.63,33.72,714.09,49.33,2.51
2024-11-20 17:08:53.909263,66.17,4022.5,57.66,858.9,625.44,2.75
2024-11-20 17:09:53.909263,38.38,3379.45,164.1,219.79,820.43,4.03
2024-11-20 17:10:53.909263,33.79,2243.22,125.44,586.19,280.17,2.37
2024-11-20 17:11:53.909263,30.23,3746.46,92.37,941.91,888.04,2.0
2024-11-20 17:12:53.909263,32.72,2215.83,173.93,446.63,123.98,2.3
2024-11-20 17:13:53.909263,60.73,2553.87,174.54,962.55,598.61,2.35
2024-11-20 17:14:53.909263,42.46,1581.82,91.55,209.55,512.04,2.36
2024-11-20 17:15:53.909263,68.57,3054.68,179.31,683.14,973.52,1.56
2024-11-20 17:16:53.909263,42.72,1579.42,196.04,430.68,169.54,4.35
2024-11-20 17:17:53.909263,42.64,2272.66,29.31,953.4,125.66,2.44
2024-11-20 17:18:53.909263,34.74,1348.95,85.03,107.87,381.35,1.95
2024-11-20 17:19:53.909263,46.22,3174.72,62.51,380.0,246.98,1.8
2024-11-20 17:20:53.909263,57.58,2967.62,71.23,136.97,195.71,3.1
2024-11-20 17:21:53.909263,54.81,1627.94,144.75,788.78,984.21,3.33
2024-11-20 17:22:53.909263,47.58,3358.75,116.79,741.68,692.28,3.63
2024-11-20 17:23:53.909263,32.65,3945.81,10.49,718.53,191.39,1.43
2024-11-20 17:24:53.909263,47.28,1153.16,7.07,165.99,568.71,0.62
2024-11-20 17:25:53.909263,49.36,1793.52,41.02,616.18,556.77,1.71
2024-11-20 17:26:53.909263,45.57,3660.92,117.14,839.97,817.83,3.72
2024-11-20 17:27:53.909263,44.64,3777.16,31.47,940.79,939.68,2.31
2024-11-20 17:28:53.909263,74.55,1107.08,140.6,827.49,23.59,0.77
2024-11-20 17:29:53.909263,49.59,2156.58,65.14,747.82,126.25,0.15
2024-11-20 17:30:53.909263,57.28,3244.71,198.45,997.36,946.45,2.73
2024-11-20 17:31:53.909263,61.31,3079.85,32.83,716.9,639.13,2.12
2024-11-20 17:32:53.909263,63.73,2414.05,11.87,161.15,908.61,2.35
2024-11-20 17:33:53.909263,36.82,2276.53,61.85,119.87,352.92,4.46
2024-11-20 17:34:53.909263,65.74,2924.65,82.72,626.82,422.63,0.49
2024-11-20 17:35:53.909263,46.79,1919.79,72.57,240.04,641.38,0.36
2024-11-20 17:36:53.909263,56.05,1903.68,33.31,877.3,709.92,1.43
2024-11-20 17:37:53.909263,45.11,3324.71,113.59,713.78,402.71,4.67
2024-11-20 17:38:53.909263,45.6,1222.99,99.24,206.02,709.3,3.73
2024-11-20 17:39:53.909263,43.93,1244.9,60.89,202.69,591.02,1.06
2024-11-20 17:40:53.909263,37.84,3265.33,102.07,662.07,892.03,3.85
2024-11-20 17:41:53.909263,20.23,4084.81,16.24,171.9,83.37,1.6
2024-11-20 17:42:53.909263,48.35,3996.99,43.02,533.75,763.39,1.86
2024-11-20 17:43:53.909263,60.9,1625.35,114.98,876.63,193.83,2.57
2024-11-20 17:44:53.909263,45.45,2394.24,100.37,544.58,477.95,3.33
2024-11-20 17:45:53.909263,40.63,1544.49,110.17,918.06,19.76,4.34
2024-11-20 17:46:53.909263,74.24,2351.65,138.94,12.15,889.71,2.94
2024-11-20 17:47:53.909263,49.87,1097.67,110.9,218.96,207.52,4.8
2024-11-20 17:48:53.909263,47.75,2506.91,28.37,281.93,721.83,1.68
2024-11-20 17:49:53.909263,31.32,1762.29,76.15,479.03,625.8,3.71
2024-11-20 17:50:53.909263,46.88,1407.22,165.79,56.84,286.68,4.76
2024-11-20 17:51:53.909263,39.49,3942.98,99.74,543.25,646.8,1.99
2024-11-20 17:52:53.909263,60.44,2532.53,136.93,531.28,33.99,3.08
2024-11-20 17:53:53.909263,80.84,1161.1,111.22,70.1,916.37,2.54
2024-11-20 17:54:53.909263,30.06,3613.63,110.8,923.09,918.81,4.88
2024-11-20 17:55:53.909263,58.63,1864.22,76.86,634.87,618.25,0.29
2024-11-20 17:56:53.909263,83.62,1400.9,164.69,239.78,188.42,3.02
2024-11-20 17:57:53.909263,25.63,1944.52,58.6,815.95,757.94,3.36
2024-11-20 17:58:53.909263,38.78,1793.51,123.48,616.07,465.32,1.93
2024-11-20 17:59:53.909263,41.64,3404.84,19.21,705.87,519.52,4.31
2024-11-20 18:00:53.909263,29.43,2326.76,155.3,523.98,556.54,0.66
2024-11-20 18:01:53.909263,62.5,3908.92,32.94,208.36,171.07,0.57
2024-11-20 18:02:53.909263,55.28,2173.36,189.09,662.37,909.36,3.35
2024-11-20 18:03:53.909263,64.41,1447.22,74.62,73.19,76.85,3.81
2024-11-20 18:04:53.909263,62.35,2244.47,116.99,904.06,936.94,0.8
2024-11-20 18:05:53.909263,34.74,2624.22,27.98,844.24,429.81,2.66
2024-11-20 18:06:53.909263,71.45,1824.1,73.59,959.26,98.91,4.39
2024-11-20 18:07:53.909263,60.55,3883.4,122.94,264.59,315.36,4.63
2024-11-20 18:08:53.909263,30.61,3051.79,152.22,652.26,976.74,1.36
2024-11-20 18:09:53.909263,66.84,3381.61,174.42,865.68,411.67,4.44
2024-11-20 18:10:53.909263,24.95,1465.74,142.02,69.34,749.14,1.82
2024-11-20 18:11:53.909263,48.45,2814.33,53.11,243.55,478.23,0.36
2024-11-20 18:12:53.909263,69.36,3565.24,138.87,620.06,805.47,3.18
2024-11-20 18:13:53.909263,22.03,3814.67,59.55,14.16,912.59,1.66
2024-11-20 18:14:53.909263,40.36,2571.42,87.59,556.8,650.16,2.68
2024-11-20 18:15:53.909263,43.25,2592.38,106.33,450.3,390.42,2.28
2024-11-20 18:16:53.909263,40.64,2162.66,193.06,202.81,747.65,2.43
2024-11-20 18:17:53.909263,47.7,1037.06,176.81,175.85,210.46,2.33
2024-11-20 18:18:53.909263,53.21,1139.78,44.46,637.89,941.36,4.21
2024-11-20 18:19:53.909263,69.78,2238.18,32.48,561.73,636.17,4.71
2024-11-20 18:20:53.909263,55.75,3568.97,163.25,663.8,373.16,3.28
2024-11-20 18:21:53.909263,50.76,1374.22,31.36,186.67,472.01,3.61
2024-11-20 18:22:53.909263,58.31,2170.48,79.03,608.71,456.07,2.48
2024-11-20 18:23:53.909263,36.06,2021.34,78.42,874.78,651.29,4.77
2024-11-20 18:24:53.909263,49.53,1036.96,52.36,766.93,336.2,0.46
2024-11-20 18:25:53.909263,51.71,1281.44,64.28,677.31,649.18,2.83
2024-11-20 18:26:53.909263,64.49,2518.22,171.59,842.73,421.46,1.2
2024-11-20 18:27:53.909263,54.51,1612.45,183.25,556.96,512.09,3.68
2024-11-20 18:28:53.909263,47.68,3001.85,51.99,838.6,354.17,2.34
2024-11-20 18:29:53.909263,56.07,3212.64,31.05,554.81,187.07,2.77
2024-11-20 18:30:53.909263,55.57,3497.83,160.16,626.86,588.54,1.82
2024-11-20 18:31:53.909263,57.14,2442.51,5.08,572.84,756.87,1.01
2024-11-20 18:32:53.909263,75.72,1670.25,58.98,496.9,990.55,4.05
2024-11-20 18:33:53.909263,54.76,3179.32,100.18,644.99,134.82,2.15
2024-11-20 18:34:53.909263,42.54,2425.05,64.45,951.03,472.33,3.97
2024-11-20 18:35:53.909263,41.68,1418.35,109.72,726.02,231.51,2.13
2024-11-20 18:36:53.909263,44.41,3989.71,195.43,652.18,206.59,2.94
2024-11-20 18:37:53.909263,46.52,3555.6,66.76,846.68,378.56,0.26
2024-11-20 18:38:53.909263,24.1,1858.38,191.48,856.1,491.23,2.06
2024-11-20 18:39:53.909263,35.42,2936.72,157.71,855.22,725.36,1.22
2024-11-20 18:40:53.909263,49.81,2983.67,155.57,177.23,261.38,0.25
2024-11-20 18:41:53.909263,48.97,2068.45,92.65,491.86,286.08,4.76
2024-11-20 18:42:53.909263,26.38,2266.77,156.71,879.06,534.81,3.04
2024-11-20 18:43:53.909263,53.9,1066.12,197.82,525.99,207.13,4.98
2024-11-20 18:44:53.909263,48.0,3561.78,21.97,71.79,524.72,0.75
2024-11-20 18:45:53.909263,49.57,3039.28,105.13,199.1,865.75,2.6
2024-11-20 18:46:53.909263,55.42,1362.21,111.19,221.28,793.05,0.95
2024-11-20 18:47:53.909263,44.5,3668.22,30.19,287.15,378.44,4.55
2024-11-20 18:48:53.909263,64.46,2565.77,56.74,506.42,918.79,4.24
2024-11-20 18:49:53.909263,48.69,2830.56,150.57,418.39,434.64,0.07
2024-11-20 18:50:53.909263,56.25,2339.0,136.8,756.0,897.12,1.91
2024-11-20 18:51:53.909263,33.42,3791.83,61.99,971.98,399.35,0.58
2024-11-20 18:52:53.909263,20.81,2202.91,21.56,27.45,157.52,0.33
2024-11-20 18:53:53.909263,60.38,2590.75,82.73,541.0,750.79,3.74
2024-11-20 18:54:53.909263,41.5,4092.73,199.55,147.52,604.45,2.59
2024-11-20 18:55:53.909263,28.82,3982.82,100.77,321.02,795.37,2.21
2024-11-20 18:56:53.909263,58.33,1691.64,164.01,608.12,434.18,4.61
2024-11-20 18:57:53.909263,52.4,3442.65,151.95,48.93,492.94,0.64
2024-11-20 18:58:53.909263,57.0,4071.74,62.44,356.16,801.1,4.54
2024-11-20 18:59:53.909263,31.08,1683.03,159.05,326.76,350.85,2.07
2024-11-20 19:00:53.909263,55.32,3862.37,94.39,455.86,852.67,3.36
2024-11-20 19:01:53.909263,16.65,3008.83,77.48,168.3,72.41,4.06
2024-11-20 19:02:53.909263,65.94,3081.87,157.36,590.6,162.6,0.92
2024-11-20 19:03:53.909263,24.6,3313.88,187.07,433.66,409.48,0.55
2024-11-20 19:04:53.909263,29.2,3601.46,102.11,198.28,980.48,4.88
2024-11-20 19:05:53.909263,60.12,2077.02,82.22,116.21,745.31,2.59
2024-11-20 19:06:53.909263,40.76,2763.48,121.46,605.26,21.65,3.8
2024-11-20 19:07:53.909263,65.04,3287.54,19.3,787.77,150.71,4.85
2024-11-20 19:08:53.909263,78.04,2992.09,100.87,805.3,799.09,2.45
2024-11-20 19:09:53.909263,9.89,3638.2,96.96,977.58,636.12,1.6
2024-11-20 19:10:53.909263,41.02,3780.38,159.16,164.92,214.71,4.32
2024-11-20 19:11:53.909263,45.49,2293.0,148.07,797.06,238.96,1.64
2024-11-20 19:12:53.909263,17.94,3787.36,14.56,418.9,429.51,2.45
2024-11-20 19:13:53.909263,52.9,3360.08,138.57,64.81,464.26,3.77
2024-11-20 19:14:53.909263,66.23,1950.78,113.65,752.6,828.44,2.93
2024-11-20 19:15:53.909263,29.14,2776.27,196.6,687.09,313.94,0.51
2024-11-20 19:16:53.909263,60.16,2524.42,125.81,558.79,658.46,1.87
2024-11-20 19:17:53.909263,29.31,2859.46,46.28,712.44,681.77,3.18
2024-11-20 19:18:53.909263,45.94,3539.34,197.8,180.73,859.75,0.89
2024-11-20 19:19:53.909263,45.25,3811.41,164.44,588.47,917.56,4.42
2024-11-20 19:20:53.909263,42.53,1540.06,99.7,752.38,133.2,1.69
2024-11-20 19:21:53.909263,67.29,4093.2,92.77,426.05,949.29,2.86
2024-11-20 19:22:53.909263,33.0,1291.99,7.09,578.09,635.71,0.17
2024-11-20 19:23:53.909263,65.51,2187.84,181.51,128.48,344.78,3.43
2024-11-20 19:24:53.909263,49.53,3252.7,156.94,682.52,349.89,2.07
2024-11-20 19:25:53.909263,52.63,3102.06,158.79,281.99,475.1,2.55
2024-11-20 19:26:53.909263,22.92,3938.39,98.92,220.66,387.96,1.19
2024-11-20 19:27:53.909263,40.81,3482.14,47.7,210.84,120.4,4.5
2024-11-20 19:28:53.909263,21.46,2507.26,143.08,723.15,270.21,0.18
2024-11-20 19:29:53.909263,48.41,1947.69,178.5,133.12,887.03,1.16
2024-11-20 19:30:53.909263,22.52,2162.36,77.53,223.96,481.53,2.35
2024-11-20 19:31:53.909263,52.77,3408.15,84.31,162.31,195.65,1.64
2024-11-20 19:32:53.909263,63.41,1605.67,184.83,197.91,426.62,4.88
2024-11-20 19:33:53.909263,53.92,1386.31,74.89,22.22,327.62,2.85
2024-11-20 19:34:53.909263,53.91,1781.3,91.53,803.32,911.4,3.64
2024-11-20 19:35:53.909263,54.91,3559.96,187.84,956.66,332.32,4.89
2024-11-20 19:36:53.909263,57.8,3421.42,120.01,911.38,298.53,0.83
2024-11-20 19:37:53.909263,34.25,1594.79,141.2,530.22,715.57,2.74
2024-11-20 19:38:53.909263,53.36,3806.03,183.94,86.9,965.97,1.07
2024-11-20 19:39:53.909263,51.42,1063.0,105.67,371.46,974.4,2.2
2024-11-20 19:40:53.909263,45.97,1862.32,185.74,869.96,209.66,4.18
2024-11-20 19:41:53.909263,65.32,2445.5,127.14,441.96,513.76,3.36
2024-11-20 19:42:53.909263,40.15,3859.84,48.58,991.33,653.51,1.58
2024-11-20 19:43:53.909263,68.02,3711.0,176.91,769.26,909.44,2.93
2024-11-20 19:44:53.909263,51.28,2518.29,199.43,418.93,514.89,2.46
2024-11-20 19:45:53.909263,48.02,3365.44,96.81,210.86,286.18,0.52
2024-11-20 19:46:53.909263,54.46,1049.0,134.73,754.55,158.41,1.41
2024-11-20 19:47:53.909263,-4.99,1024.59,126.86,282.22,471.25,1.88
2024-11-20 19:48:53.909263,50.91,2892.1,49.43,819.49,955.45,1.56
2024-11-20 19:49:53.909263,54.68,3024.18,124.03,453.6,749.03,0.4
2024-11-20 19:50:53.909263,41.02,2985.36,112.23,589.69,786.79,3.31
2024-11-20 19:51:53.909263,57.9,3897.27,55.64,647.03,617.07,4.37
2024-11-20 19:52:53.909263,48.72,1903.21,145.12,720.92,417.29,1.05
2024-11-20 19:53:53.909263,56.17,1479.54,50.78,536.08,622.28,4.14
2024-11-20 19:54:53.909263,55.88,1769.96,97.77,675.77,956.02,0.05
2024-11-20 19:55:53.909263,44.83,1529.47,181.33,129.96,246.81,3.0
2024-11-20 19:56:53.909263,44.08,1537.11,120.74,502.05,265.69,0.84
2024-11-20 19:57:53.909263,53.59,1509.21,158.52,374.95,293.81,4.46
2024-11-20 19:58:53.909263,30.88,1467.7,87.34,584.59,982.15,0.1
2024-11-20 19:59:53.909263,40.1,2179.77,158.62,289.53,909.2,4.24
2024-11-20 20:00:53.909263,50.55,2475.99,36.46,872.58,478.69,4.27
2024-11-20 20:01:53.909263,32.93,3589.2,121.35,630.35,322.62,2.12
2024-11-20 20:02:53.909263,59.72,3851.03,22.82,540.37,936.77,0.47
2024-11-20 20:03:53.909263,80.8,2514.31,191.02,150.32,926.81,4.02
2024-11-20 20:04:53.909263,27.2,1164.12,108.87,343.53,619.42,3.88
2024-11-20 20:05:53.909263,33.77,1923.71,38.61,167.43,719.01,3.25
2024-11-20 20:06:53.909263,31.31,3028.91,159.85,605.22,630.88,4.0
2024-11-20 20:07:53.909263,45.82,1822.92,161.43,298.7,891.08,2.28
2024-11-20 20:08:53.909263,67.71,1430.32,139.4,431.74,71.75,4.58
2024-11-20 20:09:53.909263,69.0,2559.4,104.76,10.39,957.15,4.23
2024-11-20 20:10:53.909263,26.22,2438.54,78.76,359.1,214.74,2.22
2024-11-20 20:11:53.909263,58.42,1066.45,157.26,85.54,508.32,2.56
2024-11-20 20:12:53.909263,44.28,1929.62,30.01,627.69,880.96,4.77
2024-11-20 20:13:53.909263,62.07,3195.7,42.52,550.43,476.19,0.33
2024-11-20 20:14:53.909263,85.79,3650.72,144.03,327.72,319.36,3.59
2024-11-20 20:15:53.909263,29.1,1587.39,61.24,701.22,345.86,1.54
2024-11-20 20:16:53.909263,52.84,1974.05,123.68,346.94,577.51,0.53
2024-11-20 20:17:53.909263,59.62,3254.74,130.68,658.84,791.7,1.23
2024-11-20 20:18:53.909263,48.5,1025.21,63.96,827.81,43.7,3.96
2024-11-20 20:19:53.909263,47.59,3563.17,50.04,907.19,229.32,3.16
2024-11-20 20:20:53.909263,43.09,1514.62,177.54,504.13,287.52,2.65
2024-11-20 20:21:53.909263,35.77,3653.88,62.36,220.42,978.07,3.52
2024-11-20 20:22:53.909263,55.4,2853.98,90.81,198.82,894.12,4.72
2024-11-20 20:23:53.909263,54.28,2551.39,19.08,984.56,386.59,3.06
2024-11-20 20:24:53.909263,66.61,3601.4,103.07,677.49,61.41,4.42
2024-11-20 20:25:53.909263,48.97,2104.43,109.55,87.99,833.32,0.21
